App,Catégorie,Statut,Lien principal,Lien alternatif,Mes notes
WhatsApp,Messagerie,choisi,https://github.com/efxlve/whatsapp-clone,,
Telegram,Messagerie,à décider,https://github.com/Swiftgram/Telegram-iOS,https://github.com/levochkaa/BetterTG,
Microsoft Teams,Messagerie,à décider,,https://github.com/techschneiderrr/Ms-Teams-Clone,
Messenger,Messagerie,à décider,https://github.com/sopheamen007/app.mobile.facebook-messenger-app-ui,https://github.com/23122K/Messenger-Clone,Flutter pas SwiftUI
Signal,Messagerie,à décider,https://github.com/signalapp/Signal-iOS,,App officielle
Instagram,Social,choisi,https://github.com/dmakarau/InstagramClone,,
Snapchat,Social,patreon,https://www.patreon.com/sopheamenvan/posts/swiftui-snapchat-106774973,,
Facebook,Social,choisi,https://github.com/omarthamri/FacebookClone,https://github.com/jmmanoza/Facebook,
LinkedIn,Social,patreon,https://www.patreon.com/sopheamenvan/posts/swiftui-linkedin-106774147,,
Twitter / X,Social,hybride,https://github.com/boardguy1024/TwitterSwiftUI,https://github.com/jurmadani/TwitterClone,UI boardguy + dock jurmadani
Tinder,Dating,choisi,https://github.com/enesozmus/SwiftUI-Tinder-Clone,https://github.com/alejandro-piguave/TinderCloneSwiftUI,
Happn / Bumble / Hinge,Dating,à décider,,https://github.com/zabloncharles/Fumble,
Spotify,Musique,choisi,https://github.com/denoni/SpotifyClone,https://github.com/adriancysvillegast/Spotify-SwiftUI,
Netflix,Vidéo,choisi,https://github.com/qeude/Notflix,,
YouTube,Vidéo,choisi,https://github.com/milika/SmartTubeIOS,,
YouTube Music,Vidéo,choisi,https://github.com/barisozgenn/YoutubeMusicClone-SwiftUI-UIKit,,
Prime Video,Vidéo,choisi,https://github.com/yagizdo/PrimeVideoDesignWithSwift,,
Disney+,Vidéo,à décider,https://github.com/GouthamShiv/iOS_DisneyPlus,,
ChatGPT,IA,choisi,https://github.com/acalderon20/chatGPT_clone,,
2e IA,IA,à décider,,https://github.com/CherryHQ/hanlin-ai,
Banque LPSP,Finance,choisi,https://github.com/Pankajrana01/SuperWallet-SwiftUI,https://github.com/govardhansbhati/pocketpulse,
PayPal,Finance,choisi,https://github.com/pikkukurkku/PayPalClone,,
Revolut,Finance,à décider,,,
Crypto,Finance,à décider,https://www.patreon.com/sopheamenvan/posts/build-phantom-on-124537380,https://github.com/RedDragonJ/Swift-Learning/tree/main/SwiftUIAndCoinbase,
Amazon,Shopping,choisi,https://github.com/404ibra/AmazonClone,https://github.com/Djallil14/Amazing.ca-Amazon-SwiftUI-Clone,
Uber,Mobilité,choisi,https://github.com/Huss3n/UberSwiftUI,https://github.com/WorkWithAfridi/SwiftUI-iUber_A-Uber-Clone,
Uber Eats,Mobilité,patreon,https://www.patreon.com/sopheamenvan/posts/build-uber-clone-116211445,,
Discord,Social,choisi,https://github.com/piwien/Discord-Clone,,
Waze,Mobilité,à décider,,https://github.com/GGCIRILLO/Waze-Clone-NC1,
Airbnb / Hôtels,Voyage,à décider,https://github.com/piwien/Airbnb-Clone,https://github.com/Keerthi-Sparkout/AirbnbClone-SwiftUI,
Hôtel Booking,Voyage,à décider,,https://github.com/williamsouef/Travel-Booking-App-SwiftUI,
Flighty / Vols,Voyage,choisi,https://github.com/chrisfree/flightySwiftUI,,
Trains,Voyage,à décider,,https://github.com/alfredang/sgmrtapp,
Fichiers,Utilitaires,à décider,,https://github.com/noppefoxwolf/FileManagerUI,
Plans,Utilitaires,choisi,https://github.com/karanb03/iOS-map-clone,,
Cloud PC,Utilitaires,à décider,,,
Strava,Utilitaires,à décider,,https://github.com/renzoventura/stride,
